Qty	Value	Part Num	Package	Parts	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	Value	Min quantity	Unit price	URL
1	220uF	CK1V221MCRF10	CAP-8X10.5	C1	Semtech	LCSC	C263948	CAP ALUM 220uF 20% 35V SMD	8x10.5	220uF	5	0.0725	https://lcsc.com/product-detail/Others_Semtech-CKF1V221M0810_C263948.html
1	2.2nF	C2012X7R1H222KT000N	0805	C17	TDK	LCSC	C76647	CAP CER 2.2NF 50V	0805	2.2nF	50	0.0152	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_TDK_C2012X7R1H222KT000N_2-2nF-222-10-50V_C76647.html
1	10nF	CL21B103KCANNNC	0805	C18	Samsung Electro-Mechanics	LCSC	C18741	CAP CER 10NF 100V	0805	10nF	50	0.0135	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B103KCANNNC_10nF-103-10-100V_C18741.html
3	22uF	CL21A226MAQNNNE	0805	C2, C6, C7	Samsung	LCSC	C45783	CAP CER 22uF 25V X5R	0805	22uF	5	0.1224	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A226MAQNNNE_22uF-226-20-25V_C45783.html
10	100nF	0805B104M500NT	0805	C3, C4, C11, C12, C13, C14, C15, C16, C19, C20	Guangdong Fenghua Advanced Tech	LCSC	C286511	CAP CER 0.1UF 50V 	0805	0.1uF	50	0.0169	https://lcsc.com/product-detail/Others_Guangdong-Fenghua-Advanced-Tech-0805B104M500NT_C286511.html
1	33pF	CL21C330JBANNNC	0805	C5	Samsung Electro-Mechanics	LCSC	C1814	CAP CER 33pF  50V 	0805	33pF	50	0.0123	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21C330JBANNNC_33pF-330-5-50V_C1814.html
3	1uF	0805B105K250AT	0805	C8, C9, C10	Guangdong Fenghua Advanced Tech	LCSC	C111769	CAP CER 1uF 25V 	0805	1uF	20	0.0203	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_1uF-105-10-25V_C111769.html
1	GREEN	LTST-C170KGKT	LED-0805	D1	Lite-On	LCSC	C98221	Light Emitting Diodes (LED) Green 567.5~576.5nm 18~71mcd@20mA Top View 0805 RoHS	0805	GREEN	20	0.0276	https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_LTST-C170KGKT-green_C98221.html
1	330R-1500MA	BLM21PG331SN1D	0805	FB	Murata Electronics	LCSC	C74764	FERRITE BEAD 330 OHM 0805 1LN	0805	*	20	0.0351	https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_muRata_BLM21PG331SN1D_330R-25_C74764.html
3	HEADER-VH	B2P-VH(LF)(SN)	B2P-VH	J1, J2, J3	*	DK	455-1639-ND	CONN HEADER VH TOP 2POS 3.96MM	*	*	*	*	*
1	HEADER-PH-3P	B3B-PH-K-S(LF)(SN)	B3B-PH-K	J11	JST Sales America	LCSC	C131339	CONN HEADER PH TOP 3POS 2MM	PTH	*	5	0.0997	https://lcsc.com/product-detail/PCB-Connectors-Headers-Male-Pins_JST-Sales-America_B3B-PH-K-S-LF-SN_JST-Sales-America-B3B-PH-K-S-LF-SN_C131339.html
1	HEADER-3X04	*	3X04	J12	*	*	*	*	*	*	*	*	*
1	HEADER-3X06"	*	3X06	J13	*	*	*	*	*	*	*	*	*
1	HEADER-2X16	DS1023-2*16SF11	2X16	J14	CONNFLY Elec	LCSC	C132130	FEMALE HEADER 2*16 2.54MM	PTH	*	1	0.1454	https://lcsc.com/product-detail/Female-Header_DS1023-2-16SF11_C132130.html
1	HEADER-2X12	DS1023-2*12SF11	2X12	J15	CONNFLY Elec	LCSC	C92265	FEMALE HEADER  2*12 2.54MM	PTH	*	1	0.1201	https://lcsc.com/product-detail/Female-Header_2-54Female-header2-12-8-5mm_C92265.html
1	DF13-4P-1.25DSA	DF13-4P-1.25DSA	DF13-4P-1.25DSA	J16	Hirose	LCSC	C202091	CONN HEADER DF13 4POS 1.25MM	PTH	*	1	0.2655	https://lcsc.com/product-detail/Connectors_Hirose_DF13-4P-1-25DSA_Hirose-HRS-DF13-4P-1-25DSA_C202091.html
1	DF13-6P-1.25DSA	DF13-6P-1.25DSA	DF13-6P-1.25DSA	J17	Hirose	DK	H2195-ND	CONN HEADER DF13 6POS 1.25MM	*	*	*	*	*
7	HEADER-PH-4P	B4B-PH-K-S(LF)(SN)	B4B-PH-K	J4, J5, J6, J7, J8, J9, J10	*	DK	455-1706-ND	CONN HEADER PH TOP 4POS 2MM	*	*	*	*	*
1	4.7uH	SPM6530T-4R7M	IND_TDK_7.1X6.5	L1	TDK	LCSC	C76857	Power Inductors 4.7uH ±20% 5.6A	7.1x6.5mm	4.7uH	10	0.1082	https://lcsc.com/product-detail/Power-Inductors_TDK_SPM6530T-4R7M_TDK-SPM6530T-4R7M_C76857.html
1	WS2812B3535	WS2812B-3535	LED3535	LED1	Worldsemi	LCSC	C114583	"SMART LED, 3.5MM SMD"	*	*	5	0.1145	https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_3535-RGBIntegrated-Light_C114583.html
2	100k	RC0805FR-07100KL	0805	R1, R5	YAGEO	LCSC	C96346	RES SMD 100K OHM 1%	0805	100k	50	0.0054	https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_100KR-1003-1_C96346.html
1	2.7k*4	RTA03-4D272JTP	0603*4	R11	RALEC	LCSC	C102660	Resistor Networks & Arrays 2.7KOhms ±5% 1/16W 0603_x4	0603_x4	2.7k	50	0.0087	https://lcsc.com/product-detail/Resistor-Networks-Arrays_2-7KR-272-5_C102660.html
1	40.2k	*	0805	R2	*	*	*	*	*	*	*	*	*
1	5.49	*	0805	R3	*	*	*	*	*	*	*	*	*
3	1k	RC0805JR-071KL	0805	R4, R10, R109	YAGEO	LCSC	C100046	RES SMD 1K OHMs ±5% 1/8W 	0805	1k	50	0.0027	https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1KR-102-5_C100046.html
3	22k	RMS10FT2202	0805	R6, R7, R8	TA-I Tech	LCSC	C212360	RES SMD 22KOhms ±1% 	0805	22k	50	0.0043	https://lcsc.com/product-detail/Others_TA-I-Tech-RMS10FT2202_C212360.html
1	SW-TACTILE-4.5X4.5_SMD	TSA453G38-250	TL3305	SW1	BRIGHT	LCSC	C294494	Tactile Switches SPST 4.50mm x 4.50mm 0.90mm 50mA @ 12VDC SMD RoHS	SMD	*	20	0.0254	https://lcsc.com/product-detail/Tactile-Switches_BRIGHT-TSA453G38-250_C294494.html
1	ATSAMD21G	ATSAMD21G18A-AU	TQFP-48-EDITED	U1	*	DK	ATSAMD21G18A-AU-ND	IC MCU 32BIT 256KB FLASH 48TQFP	48TQFP	*	*	*	*
1	PMIC-MP2225	MP2225GJ-Z	SOT-23-8	U2	Monolithic Power Systems	LCSC	C133066	DC-DC Converters Step-Down Adjustable 1 4.5V 18V 0.6V 17V 5A TSOT-23-8 	TSOT23-8	*	10	0.3214	https://lcsc.com/product-detail/DC-DC-Converters_MPS_MP2225GJ-Z_MP2225GJ-Z_C133066.html
