Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	Value	Min quantity	Unit price	URL
RC0805JR-071KL	YAGEO	LCSC	C100046	Chip Resistor - Surface Mount 1KOhms ±5% 1/8W 0805 RoHS	0805	1k	50	0.0027	https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1KR-102-5_C100046.html
RS-05K331JT		LCSC	C100967	RES SMD 330 OHM 	0805	330			
RTA03-4D272JTP	RALEC	LCSC	C102660	Resistor Networks & Arrays 2.7KOhms ±5% 1/16W 0603_x4	0603_x4	2.7k	50	0.0087	https://lcsc.com/product-detail/Resistor-Networks-Arrays_2-7KR-272-5_C102660.html
0805B105K250AT	Guangdong Fenghua Advanced Tech	LCSC	C111769	Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF 25V 0805 RoHS	0805	1uF	20	0.0203	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_1uF-105-10-25V_C111769.html
RMS10FT2202	TA-I Tech	LCSC	C212360	Chip Resistor - Surface Mount 22KOhms ±1% 1/8W 0805 RoHS	0805	22k	50	0.0043	https://lcsc.com/product-detail/Others_TA-I-Tech-RMS10FT2202_C212360.html
WS2812B		LCSC	C114586	"SMART LED, 5MM SMD"					
SE5218ALG-LF	Seaward Elec	LCSC	C118233	Low Dropout Regulators(LDO) Positive Fixed 600mV @ 400mA 5.5V 3.3V 500mA SOT-23-5 RoHS	SOT-23-5		10	0.0419	https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_SE5218ALG-LF-3-3V_C118233.html
B3B-PH-K-S(LF)(SN)	JST Sales America	LCSC	C131339	CONN HEADER PH TOP 3POS 2MM	PTH		5	0.0997	https://lcsc.com/product-detail/PCB-Connectors-Headers-Male-Pins_JST-Sales-America_B3B-PH-K-S-LF-SN_JST-Sales-America-B3B-PH-K-S-LF-SN_C131339.html
DS1023-2*16SF11	CONNFLY Elec	LCSC	C132130	FEMALE HEADER 2*16 2.54MM	PTH		1	0.1454	https://lcsc.com/product-detail/Female-Header_DS1023-2-16SF11_C132130.html
CL21A106KAYNNNE	Samsung Electro-Mechanics	LCSC	C15850	CAP CER 10UF 25V 	0805	10uF	20	0.038	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A106KAYNNNE_10uF-106-10-25V_C15850.html
B4B-PH-K-S-(LF)(SN)	JST Sales America	LCSC	C160257	CONN HEADER PH TOP 4POS 2MM	PTH		10	0.0629	https://lcsc.com/product-detail/PH-Connectors_JST-Sales-America__JST-Sales-America-PHseries-socket-1-4P-pitch2mm_C160257.html
B2P-VH-(LF)(SN)	JST Sales America	LCSC	C160315	CONN HEADER VH TOP 2POS 3.96MM	PTH		5	0.071	https://lcsc.com/product-detail/PCB-Connectors-Headers-Male-Pins_JST-Sales-America__JST-Sales-America-VHseries-socket-1-2P-pitch3-96mm-Straight-line_C160315.html
CL21B103KCANNNC	Samsung Electro-Mechanics	LCSC	C18741	CAP CER 10NF 100V	0805	10nF	50	0.0135	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B103KCANNNC_10nF-103-10-100V_C18741.html
U-F-M5SS-W-2	Korean Hroparts Elec	LCSC	C192640	USB Connectors 5 Receptacle 1 7.5mm*9.2mm RoHS	7.5mm*9.2mm		5	0.0754	https://lcsc.com/product-detail/Micro-USB-Connectors_Korean-Hroparts-Elec-U-F-M5SS-W-2_C192640.html
DF13-4P-1.25DSA	Hirose	LCSC	C202091	CONN HEADER DF13 4POS 1.25MM	PTH		1	0.2655	https://lcsc.com/product-detail/Connectors_Hirose_DF13-4P-1-25DSA_Hirose-HRS-DF13-4P-1-25DSA_C202091.html
MPU-6050	TDK InvenSense	LCSC	C24112	IMU ACCEL/GYRO 3-AXIS I2C 24QFN	24QFN		1	2.8835	https://lcsc.com/product-detail/Attitude-Sensors_TDK-InvenSense_MPU-6050_TDK-InvenSense-MPU-6050_C24112.html
0805B104M500NT	Guangdong Fenghua Advanced Tech	LCSC	C286511	CAP CER 0.1UF 50V 	0805	0.1uF	50	0.0169	https://lcsc.com/product-detail/Others_Guangdong-Fenghua-Advanced-Tech-0805B104M500NT_C286511.html
CL21A226MPQNNNE	Samsung	LCSC	C29277	CAP CER 22UF 10V X5R	0805	22uF	10	0.0719	
TSA453G38-250	BRIGHT	LCSC	C294494	Tactile Switches SPST 4.50mm x 4.50mm 0.90mm 50mA @ 12VDC SMD RoHS	SMD		20	0.0254	https://lcsc.com/product-detail/Tactile-Switches_BRIGHT-TSA453G38-250_C294494.html
TXS0104EPWR	Texas Instruments	LCSC	C44955	"Level Translators,  Shifters TSSOP-14 RoHS"	TSSOP-14		1	0.6934	https://lcsc.com/product-detail/Interface-ICs_TI_TXS0104EPWR_TXS0104EPWR_C44955.html
BLM21PG331SN1D	Murata Electronics	LCSC	C74764	FERRITE BEAD 330 OHM 0805 1LN	0805		20	0.0351	https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_muRata_BLM21PG331SN1D_330R-25_C74764.html
SN74AHCT1G125DBVR	Texas Instruments	LCSC	C7484	"74 Series Buffer, Non-Inverting 4.5V ~ 5.5V SOT-23-5 RoHS"	SOT-23-5		5	0.1281	https://lcsc.com/product-detail/74-Series_TI_SN74AHCT1G125DBVR_SN74AHCT1G125DBVR_C7484.html
DRV8871DDAR	Texas Instruments	LCSC	C75864	Motor Drivers SO-8 RoHS	SO-8		1	1.725	https://lcsc.com/product-detail/Motor-Drivers_TI_DRV8871DDAR_DRV8871DDAR_C75864.html
C2012X7R1H222KT000N	TDK	LCSC	C76647	CAP CER 2.2NF 50V	0805	2.2nF	50	0.0152	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_TDK_C2012X7R1H222KT000N_2-2nF-222-10-50V_C76647.html
GRM21BR61A226ME51L	Murata Electronics	LCSC	C77074	CAP CER 22UF 10V X5R	0805	22uF	10	0.0661	https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM21BR61A226ME51L_22uF-226-20-10V_C77074.html
NR6028T4R7M	Taiyo Yuden	LCSC	C77758	Power Inductors 4.7uH ±20% 2.7A 6.0*6.0*2.8 RoHS	6.0*6.0*2.8	4.7 uH	1	0.1776	https://lcsc.com/product-detail/Power-Inductors_Taiyo-Yuden_NR6028T4R7M_Taiyo-Yuden-NR6028T4R7M_C77758.html
FC-A2012BK-470H2	Foshan NationStar Optoelectronics	LCSC	C84259	Light Emitting Diodes (LED) Blue 468~478nm 20~55mcd@2mA Top View 0805 RoHS	0805	BLUE	20	0.022	https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Blue-light-SMDLED-36-45mcdat2mA_C84259.html
DS1023-2*12SF11	CONNFLY Elec	LCSC	C92265	FEMALE HEADER  2*12 2.54MM	PTH		1	0.1201	https://lcsc.com/product-detail/Female-Header_2-54Female-header2-12-8-5mm_C92265.html
RC0805FR-07100KL	YAGEO	LCSC	C96346	RES SMD 100K OHM 1%	0805	100k	50	0.0054	https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_100KR-1003-1_C96346.html
CS1E470M-CRE54	Semtech	LCSC	C97807	CAP ALUM 47UF 20% 35V RADIAL	"SMD,6.3x5.4mm"	47uF	10	0.0352	https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_47uF-25V-20_C97807.html
LTST-C170KGKT	Lite-On	LCSC	C98221	Light Emitting Diodes (LED) Green 567.5~576.5nm 18~71mcd@20mA Top View 0805 RoHS	0805	GREEN	20	0.0276	https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_LTST-C170KGKT-green_C98221.html
860020572006		DK	732-8940-1-ND	CAP ALUM 47UF 20% 35V RADIAL	PTH	47uF			
GRM21BR61E106MA73L		DK	490-10748-1-ND	CAP CER 10UF 25V X5R 0805	0805	10uF			
0603B104J500CT		DK	1292-1391-1-ND	CAP CER 0.1UF 50V X7R 0603	0603	0.1uF			
CL31A226MOHNNNE		DK	1276-3050-1-ND	CAP CER 22UF 16V X5R 1206	1206	22uF			
885012206026		DK	732-7945-1-ND	CAP CER 1UF 10V X7R 0603	0603	1uF			
CL10B222KB8WPNC		DK	1276-6530-1-ND	CAP CER 2200PF 50V X7R 0603	0603	2.2nF			
CC0603KRX7R7BB103		DK	311-3369-1-ND	CAP CER 10000PF 16V X7R 0603	0603	10nF			
150060GS75000		DK	732-4971-1-ND	LED GREEN CLEAR 0603 SMD	0603	GREEN			
150060RS75000		DK	732-4978-1-ND	LED RED CLEAR 0603 SMD	0603	RED			
BLM21PG331SN1D		DK	490-5988-1-ND	FERRITE BEAD 330 OHM 0805 1LN	0805				
B2P-VH(LF)(SN)		DK	455-1639-ND	CONN HEADER VH TOP 2POS 3.96MM					
B4B-PH-K-S(LF)(SN)		DK	455-1706-ND	CONN HEADER PH TOP 4POS 2MM					
DF13-4P-1.25DSA	Hirose	DK	H2193-ND	CONN HEADER DF13 4POS 1.25MM					
DF13-6P-1.25DSA	Hirose	DK	H2195-ND	CONN HEADER DF13 6POS 1.25MM					
NR6028T4R7M		DK	587-2100-1-ND	FIXED IND 4.7UH 3A 40.3 MOHM SMD		4.7uH			
EXB-38V272JV		DK	Y9272CT-ND	RES ARRAY 4 RES 2.7K OHM 1206	1206	2.7k			
RC0603JR-071KL		DK	311-1.0KGRCT-ND	RES SMD 1K OHM 5% 1/10W 0603	0603	1k			
RC0603FR-07330RL		DK	311-330HRCT-ND	RES SMD 330 OHM 1% 1/10W 0603	0603	330			
RC0603JR-0722KL		DK	311-22KGRCT-ND	RES SMD 22K OHM 5% 1/10W 0603	0603	22k			
TL3305BF160QG		DK	EG5351CT-ND	SWITCH TACTILE SPST-NO 50MA 12V					
ATSAMD21G18A-AU		DK	ATSAMD21G18A-AU-ND	IC MCU 32BIT 256KB FLASH 48TQFP	48TQFP				
TS30013-M050QFNR		DK	TS30013-M050QFNRCT-ND	IC REG BUCK 5V 3A SYNC 16QFN	16QFN				
MPU-6050		DK	1428-1007-1-ND	IMU ACCEL/GYRO 3-AXIS I2C 24QFN	24QFN				
AP2112K-3.3TRG1		DK	AP2112K-3.3TRG1DICT-ND	IC REG LINEAR 3.3V 600MA SOT25	SOT23-5				
DRV8871DDAR		DK	296-43024-1-ND	IC BRUSHED DC MOTOR 8SOIC	8SOIC				
TXS0108EPWR		DK	296-23011-1-ND	IC TRNSLTR BIDIRECTIONAL 20TSSOP	20TSSOP				
10118193-0001LF		DK	609-4616-1-ND	CONN USB MICRO B RECPT SMT R/A					
SN74AHCT1G125DBVR		DK	296-4708-1-ND	IC BUF NON-INVERT 5.5V SOT23-5	SOT23-5				
