"Part";"Value";"Device";"Package";"Description";"DESIGNER";"MANUFACTURER";"MF";"MPN";"OC_NEWARK";"PARTNO";"PROD_ID";"VERSION";
"C1";"0.1uF";"CAP-CERAMIC-SMD-0805";"C0805";"";"";"";"AVX";"04025C104KAT2A";"96Y8186";"";"";"";
"C2";"0.1uF";"CAP-CERAMIC-SMD-0805";"C0805";"";"";"";"AVX";"04025C104KAT2A";"96Y8186";"";"";"";
"C3";"0.1uF";"CAP-CERAMIC-SMD-0805";"C0805";"";"";"";"AVX";"04025C104KAT2A";"96Y8186";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"";"unknown";"";"";"v01";
"J1";"HEADER-PH-3PSIDEENTRY";"HEADER-PH-3PSIDEENTRY";"S3B-PH-K";"HEADER";"";"";"JST (JAPAN SOLDERLESS TERMINALS)";"S3B-PH-K-S (LF)(SN)";"38K8070";"S3B-PH-K-S(LF)(SN)";"";"";
"J2";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"CONN-09696";"";
"J3";"";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J4";"";"CONN_161X16_NO_SILK";"1X16_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J5";"HEADER-PH-6PSIDEENTRY";"HEADER-PH-6PSIDEENTRY";"S6B-PH-K";"JST PH header, 6 pos";"";"";"";"";"unknown";"";"";"";
"J6";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J7";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J8";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J9";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
"J10";"HEADER-PH-6PSIDEENTRY";"HEADER-PH-6PSIDEENTRY";"S6B-PH-K";"JST PH header, 6 pos";"";"";"";"";"unknown";"";"";"";
"J11";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"unknown";"";"";"";
