"Part";"Value";"Device";"Package";"Description";"BOM";"MANUFACTURER";"PARTNO";"SIZE";"TP_SIGNAL_NAME";
"C1";"220uF";"CAP-POL-SMD-8X10.5";"CAP-8X10.5";"AL CAPACITOR, SMD";"";"";"";"";"";
"C2";"22uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C3";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C4";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C5";"33pF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C6";"22uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C7";"22uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C8";"22uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C9";"22uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C10";"1uF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C11";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C12";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C13";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C14";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C15";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C16";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C17";"2.2nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C18";"10nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C19";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C20";"100nF";"CAP-CERAMIC-SMD0805";"0805";"CAP CERAMIC, SMD";"";"";"";"";"";
"C21";"220uF";"CAP-POL-SMD-8X10.5";"CAP-8X10.5";"AL CAPACITOR, SMD";"";"";"";"";"";
"D1";"GREEN";"SMD-LED-0805";"LED-0805";"SMD LED, 0805";"";"LITE-ON";"LTST-C170KGKT ";"";"";
"D2";"";"WS2812B3535";"LED3535";"SMART LED, 3.5MM";"";"Worldsemi";"WS2812B-3535 ";"";"";
"FB";"330R-1500MA";"SMD-FERRITE-BEAD-330R-1500MA(0805)";"0805";"Ferrite Bead";"";"MURATA ELECTRONICS";"BLM21PG331SN1D";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"EXCLUDE";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"EXCLUDE";"";"";"";"";
"J1";"XT30UPB-M";"XT30UPB-M";"XT30UPB-M";"AMASS XT30 connector";"";"";"";"";"";
"J2";"HEADER-VH";"HEADER-VH";"B2P-VH";"HEADER - JST VH, 2P";"";"";"B2P-VH(LF)(SN)  ";"";"";
"J3";"HEADER-VH";"HEADER-VH";"B2P-VH";"HEADER - JST VH, 2P";"";"";"B2P-VH(LF)(SN)  ";"";"";
"J4";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"J5";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"J6";"BM04B-SRSS-TB(LF)(SN)";"BM04B-SRSS-TB(LF)(SN)";"CONN_BM04B-SRSS-TB(LF)(SN)";"HEADER, JST SH 4POS SMD STRAIGHT";"";"JST";"BM04B-SRSS-TB_LF__SN_";"";"";
"J8";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"J9";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"J10";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"J11";"HEADER-PH-3P";"HEADER-PH-3P";"B3B-PH-K";"HEADER, JST PH, 3POS, THROUGH HOLE, STRAIGHT";"";"JST";"B3B-PH-K-S(LF)(SN)";"";"";
"J12";"HEADER-3X04";"HEADER-3X04";"3X04";"";"";"";"";"";"";
"J13";"HEADER-3X06"";"HEADER-3X06"";"3X06";"";"";"";"";"";"";
"J14";"HEADER-2X16";"HEADER-2X16";"2X16";"HEADER - 2x16, 0.1" PITCH";"";"";"";"";"";
"J15";"HEADER-2X12";"HEADER-2X12";"2X12";"HEADER, 2x12, 0.1" PITCH";"";"";"";"";"";
"J16";"DF13-4P-1.25DSA";"DF13-4P-1.25DSA";"DF13-4P-1.25DSA";"DF13-4P";"";"";"DF13-4P-1.25DSA";"";"";
"J17";"DF13-6P-1.25DSA";"DF13-6P-1.25DSA";"DF13-6P-1.25DSA";"DF13-6P";"";"";"DF13-6P-1.25DSA";"";"";
"L1";"4.7uH";"IND-TDK-SPM6530T";"IND_TDK_7.1X6.5";"Power inductor, SMD, 4.7uH, 5.2A";"";"TDK";"SPM6530T-4R7M ";"";"";
"R1";"100k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R2";"40.2k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R3";"5.49K";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R4";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R5";"100k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R6";"22k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R7";"22k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R8";"22k";"RES-SMD-0805";"0805";"";"";"";"";"";"";
"R9";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R10";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R11";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R12";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R13";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R14";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R15";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R16";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R17";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R18";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R19";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R20";"1.8K";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
"R21";"330";"SMD-RES-1.8K-1%-1/10W(0603)";"R0603";"SMD RESISTOR, 0603";"";"";"";"";"";
